Country/Region,population,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20
Pakistan,193203476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.7,1.2,1.5,2.3,2.6,3.8,4.0,4.5,5.0,5.5,6.2,7.1,7.7,8.3,8.9,10.0,11.0,12.5,13.9,14.6,16.3,19.5,20.9,22.1,23.2,24.3,25.9,27.1,28.4,30.2,33.0,35.8,36.4,39.5,43.2,43.6,49.5,52.2,57.7,61.8,65.9,69.0,72.0,75.6,80.4,87.0,93.8,98.9,104.0,108.4,114.1,124.6,127.6,136.8,148.7,157.0,166.0,177.7,182.7,185.2,200.8,200.8,207.8,218.0,227.6,237.6,248.9,262.4,271.4,282.6,291.7,298.7,306.2,316.9,331.4,344.0,359.7,375.0,395.4,416.5,441.3,461.9,486.4,512.1,536.6,560.6,588.5,618.7,651.8,651.8,685.3,747.8,770.8,801.0,828.8,854.3,888.5,914.2,937.3,957.7,977.9,998.8,1013.2,1029.4,1050.5,1068.9,1083.5,1104.9,1127.4,1148.5,1148.5,1166.0,1199.9,1213.8,1229.2,1246.6,1260.8,1275.1,1288.1,1302.4
Spain,46443959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.3,0.7,1.0,1.8,2.6,3.6,4.8,5.6,8.6,10.8,14.5,23.1,36.5,49.0,49.0,112.7,137.6,167.9,214.1,253.0,299.5,386.8,439.5,546.3,619.4,756.5,858.8,1066.1,1244.2,1415.0,1576.8,1724.9,1893.8,2065.3,2241.8,2412.9,2566.5,2716.6,2834.5,2942.8,3056.2,3191.4,3299.1,3407.8,3510.2,3592.1,3662.5,3715.0,3824.9,3982.2,4109.0,4128.1,4277.7,4310.8,4396.2,4486.9,4586.7,4370.6,4433.4,4470.6,4510.1,4538.2,4584.4,4595.5,4633.9,4663.3,4682.3,4694.1,4722.4,4743.9,4768.0,4798.4,4813.9,4830.6,4897.0,4909.8,4924.0,4942.3,4956.1,4967.2,4967.2,4986.8,4996.1,5007.2,5017.6,5056.1,5066.1,5076.5,5068.5,5087.0,5087.0,5122.4,5136.6,5150.9,5156.3,5159.7,5166.1,5174.5,5181.7,5188.6,5195.7,5200.9,5204.5,5209.8,5216.6,5225.8,5236.6,5245.1,5252.1,5256.0,5260.7,5268.3,5280.9,5287.6,5295.4,5302.6,5307.6,5312.9,5320.1,5328.7,5337.7,5349.9,5356.3,5360.7,5367.1,5375.5,5385.0,5394.6,5394.6,5394.6,5421.4,5428.7,5436.9,5448.6,5467.0,5467.0,5467.0
Iran,80277428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.8,1.2,1.7,3.1,4.8,7.4,12.2,18.7,29.1,36.4,43.8,59.1,72.5,81.8,89.2,100.2,112.1,125.5,141.6,158.6,173.6,186.7,201.4,216.3,229.3,244.7,256.7,269.5,287.1,309.1,336.5,366.3,402.8,441.1,477.2,516.9,555.6,592.9,628.7,662.5,694.4,725.3,753.6,779.7,804.5,824.9,849.5,872.3,893.0,913.1,932.7,951.6,971.6,990.2,1007.4,1024.1,1040.2,1056.4,1071.2,1084.1,1098.6,1112.7,1127.1,1139.4,1153.3,1166.7,1178.9,1191.4,1201.4,1213.6,1228.8,1245.3,1266.2,1284.7,1304.1,1323.2,1340.4,1361.4,1379.8,1404.2,1426.7,1452.9,1474.8,1497.3,1525.9,1552.2,1581.4,1611.2,1640.0,1663.2,1690.4,1715.6,1737.9,1763.8,1791.9,1827.0,1855.4,1886.8,1923.9,1962.7,2001.8,2046.3,2082.2,2110.5,2139.9,2165.4,2191.5,2216.5,2244.2,2273.7,2303.9,2334.7,2365.2,2397.2,2429.7,2462.0,2494.6,2523.5,2553.0,2585.1,2615.6,2647.1,2679.4,2712.1,2742.7,2773.7,2805.3,2835.9,2867.7,2900.7,2932.7,2963.2,2995.1,3027.6,3060.5,3094.0,3119.9,3148.1,3177.9,3205.2
South Africa,55908865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.7,0.9,1.1,1.1,2.1,2.7,3.6,4.3,4.9,7.2,9.9,12.7,16.6,20.9,21.2,22.9,23.7,24.2,24.7,26.1,26.9,28.3,29.6,30.2,31.3,33.0,34.6,35.8,36.3,38.9,40.6,43.2,44.8,46.6,49.8,54.3,56.5,59.0,62.0,65.0,70.7,75.5,78.0,81.3,85.7,89.4,95.7,101.0,106.4,113.3,121.3,129.1,135.4,139.7,147.2,159.1,168.5,179.1,190.5,203.0,216.0,227.9,241.9,256.8,277.5,293.9,307.6,322.0,342.3,360.0,381.7,403.9,422.4,434.0,463.9,490.1,523.0,553.9,584.6,614.5,640.5,671.2,729.6,776.9,822.3,863.6,910.0,947.8,991.3,1047.6,1107.6,1175.8,1252.7,1315.2,1365.3,1438.3,1500.5,1568.9,1657.7,1740.4,1817.1,1897.9,1999.6,2117.3,2228.4,2357.4,2470.7,2580.3,2704.6,2849.9,3006.0,3168.1,3362.2,3519.1,3679.6,3860.8,4018.4,4263.0,4483.9,4725.3,4940.9
United Kingdom,65637239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.9,0.9,1.4,2.0,2.9,3.7,4.5,5.7,6.5,7.4,9.6,13.5,19.8,27.3,34.6,40.1,46.9,56.2,68.0,83.3,99.5,118.7,137.2,158.4,194.2,230.4,271.8,319.5,369.0,412.3,456.4,522.3,591.4,667.1,742.2,818.1,880.2,935.8,1016.8,1100.4,1179.0,1253.8,1320.3,1375.3,1429.2,1493.3,1559.6,1637.3,1718.7,1794.7,1866.8,1925.6,1999.8,2072.5,2156.4,2235.1,2311.0,2368.4,2421.3,2492.9,2565.0,2648.0,2723.6,2795.7,2844.9,2890.2,2941.8,2998.0,3056.4,3113.9,3160.4,3193.1,3228.5,3283.2,3334.9,3385.2,3425.1,3463.5,3495.1,3522.9,3562.1,3608.7,3650.0,3689.0,3720.1,3743.0,3763.7,3788.2,3813.5,3841.1,3867.5,3890.5,3907.4,3923.7,3945.7,3968.1,3988.6,4007.5,4024.4,4036.5,4047.4,4064.1,4081.8,4099.8,4115.2,4131.2,4144.8,4157.0,4172.8,4189.3,4204.5,4220.0,4235.0,4245.2,4254.7,4268.2,4281.7,4293.5,4304.1,4313.9,4323.5,4329.7,4339.2,4345.3,4346.3,4346.4,4354.0,4363.6,4371.5,4376.9,4385.8,4395.5,4405.3,4413.3,4425.9,4435.8
Mexico,127540423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.7,0.9,1.3,1.6,2.0,2.5,2.9,3.2,3.7,4.6,5.6,6.6,7.8,8.6,9.5,10.8,11.8,13.2,14.8,16.8,19.1,21.8,24.9,27.0,30.1,33.1,36.5,39.3,42.3,45.8,49.4,53.9,58.8,64.8,68.8,74.5,82.7,91.2,100.9,108.5,115.1,121.8,131.3,139.6,150.7,162.6,173.2,184.0,195.3,204.1,216.7,232.2,247.2,262.3,274.6,284.8,300.5,315.1,334.0,353.1,369.6,385.9,404.8,426.1,443.7,467.0,490.3,516.4,538.0,557.5,584.6,611.8,638.2,663.5,686.2,710.9,732.6,763.1,793.8,828.6,862.7,890.8,918.2,941.7,974.6,1012.9,1050.4,1091.4,1118.8,1151.3,1178.2,1214.2,1252.9,1297.3,1336.7,1373.7,1415.6,1451.5,1500.8,1543.4,1591.3,1633.9,1668.5,1700.3,1730.1,1772.7,1817.2,1870.1,1922.9,1977.1,2013.9,2052.3,2101.4,2156.2,2213.3,2267.3,2315.1,2350.2
Chile,17909754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.7,1.3,1.3,2.4,3.4,4.1,8.7,11.2,13.3,13.3,24.2,30.0,35.3,41.7,51.5,63.8,72.9,89.9,106.6,119.4,136.7,152.9,169.2,190.1,208.7,232.3,249.6,268.8,285.7,309.7,333.4,363.0,386.8,402.7,420.2,442.0,461.9,491.7,516.6,543.3,563.3,586.7,604.8,630.7,659.5,687.1,717.9,744.3,771.3,802.1,831.1,894.7,949.7,1029.3,1097.9,1152.6,1229.3,1286.9,1372.5,1450.2,1519.8,1611.7,1678.6,1771.2,1919.7,2068.1,2207.8,2313.2,2444.5,2571.7,2768.3,2993.7,3215.1,3453.8,3651.3,3858.3,4131.7,4353.0,4594.6,4854.5,5060.8,5296.4,5566.1,5871.5,6068.5,6344.5,6604.9,6839.8,7132.7,7490.3,7752.5,7971.0,8289.1,8603.8,8980.9,9344.3,9731.7,10018.9,10298.8,12318.9,12568.7,12919.9,13218.9,13532.0,13789.3,14001.7,14205.4,14465.0,14704.8,14950.8,15186.2,15410.5,15600.0,15748.0,15887.5,16085.6,16295.4,16501.2,16670.1,16807.5,16922.8,17097.7,17268.5,17422.3,17590.5
Peru,31773839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.3,0.5,0.9,1.2,1.4,2.7,3.7,4.6,7.4,7.4,10.0,11.4,12.4,13.1,15.1,18.3,20.0,21.1,26.8,29.9,33.5,41.6,44.5,50.2,55.0,71.8,80.6,93.0,136.7,165.4,185.6,215.5,236.6,307.9,324.3,361.1,393.1,424.5,453.8,491.9,513.8,561.4,605.8,658.2,681.3,797.2,866.0,903.2,981.6,1067.9,1163.7,1273.3,1338.6,1445.5,1490.9,1611.0,1725.2,1842.0,1946.5,2046.2,2118.3,2166.0,2267.9,2401.5,2536.8,2659.3,2786.6,2904.1,2987.8,3131.0,3273.8,3423.2,3515.4,3643.1,3775.4,3901.9,4083.6,4277.3,4462.1,4666.9,4899.3,5176.5,5351.5,5351.5,5630.9,5765.7,5897.9,6035.1,6184.8,6284.9,6412.1,6572.2,6759.9,6759.9,6947.5,7230.4,7332.8,7463.9,7582.0,7691.5,7802.8,7910.2,8023.5,8102.5,8208.3,8330.4,8453.6,8572.0,8686.0,8794.0,8886.7,8976.3,9079.1,9190.1,9303.2,9412.8,9527.3,9621.2,9733.7,9848.1,9959.4,10060.0,10156.5,10270.3
Russia,144342396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.6,0.8,1.0,1.4,1.8,2.1,2.5,3.0,3.4,4.6,5.8,7.2,8.8,10.6,12.7,16.2,19.2,24.6,28.7,32.8,37.3,43.9,51.9,60.1,70.2,82.6,94.1,109.3,127.0,146.2,169.7,193.6,221.8,254.9,296.9,326.5,365.5,401.8,434.9,475.4,516.7,560.8,603.8,648.2,688.6,737.8,792.8,859.4,933.1,1006.4,1076.4,1149.6,1227.4,1301.5,1376.4,1452.7,1533.5,1609.0,1678.4,1747.5,1821.0,1884.7,1952.0,2013.8,2078.0,2138.7,2200.0,2261.6,2327.0,2386.6,2448.5,2510.3,2568.1,2626.1,2685.4,2747.5,2811.7,2870.5,2931.8,2990.9,3052.0,3112.4,3173.7,3235.9,3298.0,3357.5,3415.6,3476.5,3538.5,3598.8,3659.8,3716.7,3773.8,3828.0,3881.9,3937.1,3991.6,4045.1,4097.7,4149.0,4198.6,4247.9,4294.9,4342.3,4389.3,4435.6,4481.9,4527.3,4574.1,4620.5,4666.4,4713.0,4758.5,4802.6,4847.8,4892.8,4938.7,4984.3,5030.0
India,1324171354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.7,0.7,0.8,0.9,1.1,1.5,1.9,1.9,2.3,2.7,3.6,4.0,4.5,5.1,5.7,6.4,7.0,7.9,8.7,9.3,10.1,10.8,11.9,13.3,14.0,15.2,16.1,17.4,18.5,19.8,21.1,22.2,23.7,25.0,26.3,28.1,30.0,32.1,35.1,37.3,40.0,42.6,45.1,47.4,50.7,53.4,56.1,58.9,61.9,64.8,68.5,72.3,75.8,80.4,84.6,89.3,94.2,99.2,104.6,109.5,113.9,119.4,124.9,131.0,137.3,143.9,149.8,156.5,163.7,171.2,178.4,186.2,194.5,200.8,208.5,216.4,224.7,233.3,242.4,251.0,259.1,267.4,277.1,287.4,298.3,310.0,321.2,332.4,344.5,357.3,370.3,384.4,399.4,414.1,428.1,442.1,456.6,472.4,489.6,508.4,526.7,543.5,560.7,579.5,599.5,619.9,641.5,663.2
Brazil,207652865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.7,0.7,0.8,1.0,1.5,1.8,3.0,3.8,4.9,7.4,9.3,10.8,12.3,14.4,16.5,18.8,20.5,22.1,27.5,32.9,38.7,43.6,49.9,53.6,58.6,67.6,77.9,87.1,94.6,99.8,106.9,112.8,121.7,136.4,146.5,162.2,176.5,186.1,196.2,207.5,220.4,241.0,260.3,285.7,303.9,324.8,352.7,383.7,419.9,444.0,467.6,490.4,523.1,556.0,609.7,653.8,707.4,751.5,783.5,816.7,858.2,915.6,978.4,1060.9,1124.5,1161.0,1229.8,1309.3,1404.2,1493.3,1593.5,1673.0,1749.1,1805.4,1884.0,1983.2,2110.4,2240.1,2400.4,2479.4,2535.2,2674.6,2812.5,2961.4,3109.9,3240.2,3331.3,3406.7,3561.2,3719.7,3866.2,3991.3,4095.8,4178.2,4277.7,4445.8,4600.8,4710.5,4974.2,5141.2,5217.1,5328.5,5518.4,5724.1,5914.3,6139.9,6326.3,6473.0,6588.9,6751.9,6976.8,7208.5,7411.8,7594.4,7719.9,7817.3,8035.5,8250.1,8455.4,8672.3,8860.2,8979.8
US,323127513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.5,0.7,1.0,1.4,1.6,2.2,3.4,4.8,6.7,8.9,9.2,13.5,19.0,27.6,43.8,60.3,79.9,104.5,135.7,167.5,204.4,260.2,316.5,377.8,437.0,503.5,584.1,662.9,757.0,855.8,958.4,1044.7,1136.4,1231.7,1329.8,1437.3,1541.0,1633.9,1722.3,1800.6,1884.3,1974.4,2071.2,2172.5,2260.2,2340.8,2425.4,2504.4,2591.6,2697.4,2809.8,2911.6,2997.3,3066.9,3142.8,3227.6,3319.6,3425.4,3515.7,3594.9,3664.5,3739.3,3817.5,3903.7,3987.9,4067.5,4128.7,4187.1,4255.0,4320.6,4406.1,4484.4,4562.1,4620.9,4688.2,4751.5,4824.6,4903.7,4978.4,5045.9,5110.3,5169.1,5227.5,5284.1,5354.7,5430.6,5505.5,5567.8,5621.5,5686.2,5748.0,5814.1,5892.1,5962.5,6017.3,6071.2,6127.3,6191.7,6262.7,6341.1,6420.2,6481.5,6542.4,6615.8,6694.8,6780.9,6878.3,6979.7,7061.5,7156.0,7264.9,7373.0,7496.4,7636.5,7768.6,7889.4,8017.5,8159.1,8317.4,8486.0,8651.0,8792.9,8947.3,9086.4,9272.2,9453.5,9649.3,9855.5,10045.3,10228.0
